periodType,currencyCode,AccountsReceivable,BasicEPS,CashAndCashEquivalents,EBIT,EnterpriseValue,FreeCashFlow,GrossProfit,InvestedCapital,LongTermDebt,MarketCap,NetIncomeFromContinuingOperations,RetainedEarnings,TotalLiabilitiesNetMinorityInterest,month,year,symbol,open,high,low,close,volume,adjclose,dividends,splits
3M,USD,0.0,0.51,818194000.0,193222000.0,20650650034.0,280170000.0,355288000.0,16552279000.0,7972821000.0,13634169034.0,111652000.0,-3056708000.0,9045630000.0,9,2024,WPC,62.86000061035156,63.88999938964844,62.439998626708984,62.7400016784668,3776500.0,59.14494705200195,0.0,0.0
3M,USD,0.0,0.51,818194000.0,193222000.0,20650650034.0,280170000.0,355288000.0,16552279000.0,7972821000.0,13634169034.0,111652000.0,-3056708000.0,9045630000.0,9,2024,WPC,61.869998931884766,62.41999816894531,59.849998474121094,60.25,4993300.0,56.79762268066406,0.875,0.0
3M,USD,0.0,0.21,640373000.0,125693000.0,19077512021.0,296347000.0,361338000.0,16468697000.0,8039002000.0,11922885021.0,47038000.0,-3203974000.0,9100900000.0,12,2024,WPC,57.0,57.040000915527344,55.33000183105469,55.900001525878906,5911000.0,53.44221115112305,0.0,0.0
3M,USD,0.0,0.21,640373000.0,125693000.0,19077512021.0,296347000.0,361338000.0,16468697000.0,8039002000.0,11922885021.0,47038000.0,-3203974000.0,9100900000.0,12,2024,WPC,55.810001373291016,57.13999938964844,55.16999816894531,57.02000045776367,6047400.0,54.512969970703125,0.0,0.0
3M,USD,0.0,0.21,640373000.0,125693000.0,19077512021.0,296347000.0,361338000.0,16468697000.0,8039002000.0,11922885021.0,47038000.0,-3203974000.0,9100900000.0,12,2024,WPC,56.86000061035156,57.400001525878906,53.40999984741211,54.25,9317700.0,51.86476135253906,0.0,0.0
3M,USD,0.0,0.21,640373000.0,125693000.0,19077512021.0,296347000.0,361338000.0,16468697000.0,8039002000.0,11922885021.0,47038000.0,-3203974000.0,9100900000.0,12,2024,WPC,54.099998474121094,55.43000030517578,53.93000030517578,54.5099983215332,3133300.0,52.11332702636719,0.0,0.0
3M,USD,0.0,0.21,640373000.0,125693000.0,19077512021.0,296347000.0,361338000.0,16468697000.0,8039002000.0,11922885021.0,47038000.0,-3203974000.0,9100900000.0,12,2024,WPC,54.400001525878906,54.880001068115234,53.70000076293945,54.849998474121094,4808200.0,52.43837356567383,0.88,0.0
3M,USD,0.0,0.57,187809000.0,206252000.0,21218188456.0,273213000.0,364516000.0,16228665000.0,7866302000.0,13819559456.0,125816000.0,-3276497000.0,8940382000.0,3,2025,WPC,64.20999908447266,65.44999694824219,63.41999816894531,64.7699966430664,7017100.0,62.93657684326172,0.0,0.0
3M,USD,0.0,0.57,187809000.0,206252000.0,21218188456.0,273213000.0,364516000.0,16228665000.0,7866302000.0,13819559456.0,125816000.0,-3276497000.0,8940382000.0,3,2025,WPC,64.83999633789062,66.0999984741211,61.40999984741211,62.65999984741211,7521200.0,60.88631057739258,0.0,0.0
3M,USD,0.0,0.57,187809000.0,206252000.0,21218188456.0,273213000.0,364516000.0,16228665000.0,7866302000.0,13819559456.0,125816000.0,-3276497000.0,8940382000.0,3,2025,WPC,62.810001373291016,63.400001525878906,60.650001525878906,61.4900016784668,10491000.0,59.749427795410156,0.0,0.0
