year,month,open_mean,open_var,open_min,open_max,close_mean,close_var,close_min,close_max,dividends_mean,dividends_var,dividends_min,dividends_max,volume_mean,volume_var,volume_min,volume_max,AccountsReceivable,BasicEPS,CashAndCashEquivalents,EBIT,EnterpriseValue,FreeCashFlow,GrossProfit,InvestedCapital,LongTermDebt,MarketCap,NetIncomeFromContinuingOperations,RetainedEarnings,TotalLiabilitiesNetMinorityInterest,high,low,adjclose,symbol
2025,3,16.973999786376954,0.013779902191527114,16.780000686645508,17.06999969482422,16.80799980163574,0.1282697415164874,16.18000030517578,17.059999465942383,0.057999999999999996,0.016819999999999998,0.0,0.29,7765540.0,4497209353000.0,5443400.0,11200800.0,2581000.0,0.09,9605000.0,37922000.0,5120083920.0,57111000.0,103202000.0,4939873000.0,1816017000.0,3221803920.0,17493000.0,-536074000.0,2156372000.0,17.190000534057617,16.510000228881836,16.380666732788086,BNL
2025,6,16.117500066757202,0.05669176476802342,15.779999732971191,16.34000015258789,16.190000534057617,0.00526669158959218,16.1200008392334,16.290000915527344,0.0,0.0,0.0,0.0,8451975.0,5550208562500.0,6005000.0,11284700.0,3605000.0,0.11,20784000.0,41141000.0,5062907500.0,76672000.0,107983000.0,5020727000.0,1916154000.0,3035536500.0,19830000.0,-571302000.0,2290858000.0,16.299999237060547,15.649999618530272,15.899462699890137,BNL
2024,3,9.764999866485596,0.00776667887384976,9.65999984741211,9.859999656677246,9.862500190734863,0.0332916488647849,9.720000267028809,10.130000114440918,0.00875,0.00030625000000000004,0.0,0.035,4617650.0,840937976666.6666,3676100.0,5754100.0,297403000.0,0.03,333573000.0,34688000.0,3585151266.0,70926000.0,93116000.0,3235048000.0,1850423000.0,1662786266.0,10215000.0,-83212000.0,2465853000.0,9.93000030517578,9.529999732971191,9.507328987121582,ESRT
2024,6,9.28249979019165,0.04949168790183975,9.079999923706056,9.579999923706056,9.240000009536743,0.017799975585982664,9.09000015258789,9.380000114440918,0.00875,0.00030625000000000004,0.0,0.035,4162975.0,577481589166.6666,3556600.0,5273800.0,277605000.0,0.1,535533000.0,55256000.0,3481612380.0,37124000.0,104854000.0,3474705000.0,2074846000.0,1547881380.0,28555000.0,-71928000.0,2682034000.0,9.630000114440918,9.100000381469728,9.001282691955566,ESRT
2024,9,10.701999855041503,0.11107008235940154,10.229999542236328,11.09000015258789,10.718000030517578,0.09396998050697232,10.25,11.010000228881836,0.007000000000000001,0.0002450000000000001,0.0,0.035,6105540.0,8592141883000.0,3716300.0,11121500.0,278516000.0,0.08,421896000.0,53568000.0,3800893396.0,102810000.0,109617000.0,3471338000.0,2067567000.0,1844682396.0,22796000.0,-64211000.0,2679616000.0,10.859999656677246,10.239999771118164,10.099014282226562,ESRT
2024,12,10.685999870300293,0.25172987319956525,10.130000114440918,11.1899995803833,10.543999862670898,0.23788001930252015,10.149999618530272,11.229999542236328,0.007000000000000001,0.0002450000000000001,0.0,0.035,4887480.0,1548882867000.0,3781200.0,6348800.0,31427000.0,0.0,385465000.0,49245000.0,3819916054.0,50032000.0,106175000.0,3486331000.0,1889237000.0,1727393054.0,18793000.0,-58888000.0,2728325000.0,11.010000228881836,10.779999732971191,10.765131950378418,ESRT
2025,3,8.417500019073486,0.320291819890372,8.0,9.220000267028809,8.090000033378601,0.09646666386930747,7.829999923706055,8.539999961853027,0.00875,0.00030625000000000004,0.0,0.035,7141150.0,5637813376666.667,4815100.0,10327700.0,29071000.0,0.06,187823000.0,42744000.0,3412671412.0,83146000.0,91507000.0,3089895000.0,1789028000.0,1314304412.0,15778000.0,-55548000.0,2328505000.0,9.279999732971191,8.399999618530273,8.46847152709961,ESRT
2024,6,7.292500019073486,0.03569166971844126,7.139999866485596,7.539999961853027,7.272499918937683,0.017358324464169083,7.119999885559082,7.409999847412109,0.0,0.0,0.0,0.0,7484600.0,5515029300000.0,4599500.0,9555200.0,0.0,-0.2,122181000.0,53901000.0,6834531606.0,59856000.0,167753000.0,7321027000.0,3164631000.0,1693320606.0,-35664000.0,-1929107000.0,5189449000.0,7.690000057220459,7.364999771118164,6.296496391296387,GNL
2024,9,8.702000045776368,0.0380198750306591,8.510000228881836,8.979999542236328,8.65399990081787,0.046229959030188096,8.369999885559082,8.9399995803833,0.0,0.0,0.0,0.0,6687600.0,3023079355000.0005,4737800.0,8791300.0,0.0,-0.33,127249000.0,12840000.0,6860758227.0,47822000.0,163049000.0,7030615000.0,3174369000.0,1943489227.0,-65635000.0,-2069400000.0,5060668000.0,8.829999923706055,8.489999771118164,7.715416431427002,GNL
2024,12,7.213999938964844,0.011980013866445935,7.119999885559082,7.400000095367432,7.245999908447265,0.024580006999985957,7.139999866485596,7.519999980926514,0.0,0.0,0.0,0.0,7382600.0,9780649765000.0,5664400.0,12965900.0,0.0,-0.08,159698000.0,71674000.0,6448220314.0,61954000.0,163496000.0,6704817000.0,3127807000.0,1686673314.0,-6522000.0,-2150342000.0,4768806000.0,7.400000095367432,7.119999885559082,6.509130477905273,GNL
