year,month,open_mean,open_var,open_min,open_max,close_mean,close_var,close_min,close_max,dividends_mean,dividends_var,dividends_min,dividends_max,volume_mean,volume_var,volume_min,volume_max,BasicAverageShares,CostOfRevenue,EBIT,FreeCashFlow,GrossProfit,InvestedCapital,OrdinarySharesNumber,OtherOperatingExpenses,RetainedEarnings,TaxEffectOfUnusualItems,TotalUnusualItems,high,low,adjclose,symbol
2025,3,8.027999782562256,0.005119986896534122,7.96999979019165,8.149999618530273,7.911999988555908,0.06166999252327512,7.519999980926514,8.149999618530273,0.0,0.0,0.0,0.0,9022480.0,4150461866999.9995,5466900.0,10575300.0,230264000.0,13953000.0,-38451000.0,49411000.0,118462000.0,5148250000.0,228730355.0,0.0,-2414684000.0,-17079510.0,-81331000.0,8.321000099182129,8.0,7.728387355804443,GNL
2025,6,7.584999918937683,0.02463337217968346,7.429999828338623,7.730000019073486,7.522499918937683,0.01982498960499393,7.389999866485596,7.71999979019165,0.0,0.0,0.0,0.0,9903100.0,12100025500000.0,6055800.0,14221200.0,222960000.0,12018000.0,24485000.0,42204000.0,112887000.0,4802403000.0,221224341.0,0.0,-2493192000.0,-6252120.0,-29772000.0,7.789999961853027,7.505000114440918,7.526999950408935,GNL
2024,9,26.69200019836426,0.2349695618442647,25.940000534057617,27.149999618530277,26.54000015258789,0.11545006828346226,26.020000457763672,26.940000534057617,0.067,0.022445,0.0,0.335,1302920.0,491787527000.0,965200.0,2555600.0,60320269.0,42405000.0,39782000.0,27969000.0,80405000.0,3296180000.0,60901583.0,0.0,-293037000.0,0.0,0.0,27.290000915527344,25.799999237060547,24.57990074157715,AAT
2024,12,27.179999923706056,1.4082494716647487,25.8700008392334,28.5,26.8,0.8141995246889565,26.0,27.81999969482422,0.067,0.022445,0.0,0.335,1463320.0,979515637000.0,586100.0,3114400.0,60388681.0,43887000.0,35527000.0,21488000.0,69572000.0,3186416000.0,61138238.0,0.0,-304339000.0,0.0,0.0,28.8799991607666,27.600000381469727,26.537670135498047,AAT
2025,3,20.833999633789062,1.2225817527014458,19.959999084472656,22.540000915527344,20.095999908447265,0.8541802256779184,18.729999542236328,21.32999992370605,0.068,0.02312,0.0,0.34,2338180.0,235123846999.99997,1686700.0,3010400.0,60537300.0,41305000.0,73304000.0,20424000.0,67302000.0,2884461000.0,61134730.0,0.0,-282387000.0,340152.81344,44476000.0,22.790000915527344,21.030000686645508,20.648462295532227,AAT
2025,6,20.15750026702881,0.04449160842947711,19.850000381469727,20.299999237060547,20.107500076293945,0.03029158782980335,19.850000381469727,20.229999542236328,0.085,0.0289,0.0,0.34,2244375.0,275563915833.3333,1470700.0,2626900.0,60540125.0,40323000.0,27023000.0,28357000.0,67610000.0,2870758000.0,61152542.0,0.0,-297518000.0,0.0,0.0,20.299999237060547,19.549999237060547,19.82134246826172,AAT
2024,9,22.50256004333496,0.11895322789569053,22.200000762939453,22.895000457763672,22.648299789428712,0.10836193534560097,22.25,22.93000030517578,0.090625,0.041064453125,0.0,0.453125,126377.6,18406918942.3,33975.0,357238.0,0.0,33515000.0,12840000.0,47822000.0,163049000.0,7030615000.0,230818198.0,0.0,-2069400000.0,-10462830.0,-49823000.0,22.40999984741211,22.01000022888184,20.534547805786133,GNL-PA
2024,12,22.74199981689453,0.2113696049502324,22.18000030517578,23.38999938964844,22.626000213623048,0.11728009674079633,22.15999984741211,23.100000381469727,0.090625,0.041064453125,0.0,0.453125,54127.6,146781602.3,35663.0,67958.0,0.0,35619000.0,71674000.0,61954000.0,163496000.0,6704817000.0,231051139.0,0.0,-2150342000.0,1216740.0,5794000.0,23.5,23.040000915527344,21.74183464050293,GNL-PA
2025,3,22.581000137329102,0.07160513259914286,22.239999771118164,22.950000762939453,22.39800033569336,0.29022024276746416,21.5,22.940000534057617,0.090625,0.041064453125,0.0,0.453125,58286.0,3135458916.5,15678.0,153512.0,0.0,13953000.0,-38451000.0,49411000.0,118462000.0,5148250000.0,228730355.0,0.0,-2414684000.0,-17079510.0,-81331000.0,22.959999084472656,22.209999084472656,21.719257354736328,GNL-PA
2025,6,22.302500247955322,0.005024969355569435,22.200000762939453,22.350000381469727,22.195000171661377,0.004433301035836207,22.100000381469727,22.25,0.0,0.0,0.0,0.0,25356.25,137693977.58333334,8219.0,34266.0,0.0,12018000.0,24485000.0,42204000.0,112887000.0,4802403000.0,221224341.0,0.0,-2493192000.0,-6252120.0,-29772000.0,22.75,21.993099212646484,21.802085876464844,GNL-PA
