periodType,currencyCode,BasicAverageShares,CostOfRevenue,EBIT,FreeCashFlow,GrossProfit,InvestedCapital,OrdinarySharesNumber,OtherOperatingExpenses,RetainedEarnings,TaxEffectOfUnusualItems,TotalUnusualItems,month,year,symbol,open,high,low,close,volume,adjclose,dividends,splits
3M,USD,222960000.0,12018000.0,24485000.0,42204000.0,112887000.0,4802403000.0,221224341.0,0.0,-2493192000.0,-6252120.0,-29772000.0,6,2025,GNL,7.429999828338623,7.559999942779541,7.204999923706055,7.46999979019165,14221200.0,7.283249855041504,0.0,0.0
3M,USD,222960000.0,12018000.0,24485000.0,42204000.0,112887000.0,4802403000.0,221224341.0,0.0,-2493192000.0,-6252120.0,-29772000.0,6,2025,GNL,7.46999979019165,7.659999847412109,7.315000057220459,7.510000228881836,8496900.0,7.3222503662109375,0.0,0.0
3M,USD,60320269.0,42405000.0,39782000.0,27969000.0,80405000.0,3296180000.0,60901583.0,0.0,-293037000.0,0.0,0.0,9,2024,AAT,27.059999465942383,27.290000915527344,25.799999237060547,26.020000457763672,965300.0,24.57990074157715,0.335,0.0
3M,USD,60320269.0,42405000.0,39782000.0,27969000.0,80405000.0,3296180000.0,60901583.0,0.0,-293037000.0,0.0,0.0,9,2024,AAT,25.940000534057617,26.75,25.18000030517578,26.700000762939453,1054500.0,25.54274559020996,0.0,0.0
3M,USD,60320269.0,42405000.0,39782000.0,27969000.0,80405000.0,3296180000.0,60901583.0,0.0,-293037000.0,0.0,0.0,9,2024,AAT,26.770000457763672,27.790000915527344,26.559999465942383,26.940000534057617,2555600.0,25.7723445892334,0.0,0.0
3M,USD,60320269.0,42405000.0,39782000.0,27969000.0,80405000.0,3296180000.0,60901583.0,0.0,-293037000.0,0.0,0.0,9,2024,AAT,27.149999618530273,27.5,26.450000762939453,26.56999969482422,965200.0,25.418378829956055,0.0,0.0
3M,USD,60320269.0,42405000.0,39782000.0,27969000.0,80405000.0,3296180000.0,60901583.0,0.0,-293037000.0,0.0,0.0,9,2024,AAT,26.540000915527344,26.90999984741211,25.8700008392334,26.469999313354492,974000.0,25.32271385192871,0.0,0.0
3M,USD,60388681.0,43887000.0,35527000.0,21488000.0,69572000.0,3186416000.0,61138238.0,0.0,-304339000.0,0.0,0.0,12,2024,AAT,28.5,28.8799991607666,27.600000381469727,27.739999771118164,1262700.0,26.537670135498047,0.335,0.0
3M,USD,60388681.0,43887000.0,35527000.0,21488000.0,69572000.0,3186416000.0,61138238.0,0.0,-304339000.0,0.0,0.0,12,2024,AAT,27.889999389648438,28.40999984741211,27.3799991607666,27.81999969482422,1506800.0,26.931093215942383,0.0,0.0
3M,USD,60388681.0,43887000.0,35527000.0,21488000.0,69572000.0,3186416000.0,61138238.0,0.0,-304339000.0,0.0,0.0,12,2024,AAT,27.65999984741211,28.020000457763672,25.3700008392334,26.0,3114400.0,25.169246673583984,0.0,0.0
3M,USD,60388681.0,43887000.0,35527000.0,21488000.0,69572000.0,3186416000.0,61138238.0,0.0,-304339000.0,0.0,0.0,12,2024,AAT,25.8700008392334,26.65999984741211,25.860000610351562,26.1200008392334,586100.0,25.285411834716797,0.0,0.0
3M,USD,60388681.0,43887000.0,35527000.0,21488000.0,69572000.0,3186416000.0,61138238.0,0.0,-304339000.0,0.0,0.0,12,2024,AAT,25.979999542236328,26.399999618530273,25.690000534057617,26.31999969482422,846600.0,25.479021072387695,0.0,0.0
3M,USD,60537300.0,41305000.0,73304000.0,20424000.0,67302000.0,2884461000.0,61134730.0,0.0,-282387000.0,340152.81344,44476000.0,3,2025,AAT,22.540000915527344,22.790000915527344,21.030000686645508,21.329999923706055,1686700.0,20.648462295532227,0.34,0.0
3M,USD,60537300.0,41305000.0,73304000.0,20424000.0,67302000.0,2884461000.0,61134730.0,0.0,-282387000.0,340152.81344,44476000.0,3,2025,AAT,21.329999923706055,21.59000015258789,19.559999465942383,20.1299991607666,2439100.0,19.791847229003906,0.0,0.0
3M,USD,60537300.0,41305000.0,73304000.0,20424000.0,67302000.0,2884461000.0,61134730.0,0.0,-282387000.0,340152.81344,44476000.0,3,2025,AAT,19.959999084472656,20.969999313354492,19.90999984741211,20.25,3010400.0,19.909832000732422,0.0,0.0
3M,USD,60537300.0,41305000.0,73304000.0,20424000.0,67302000.0,2884461000.0,61134730.0,0.0,-282387000.0,340152.81344,44476000.0,3,2025,AAT,20.3799991607666,20.709999084472656,19.81999969482422,20.040000915527344,2124700.0,19.703359603881836,0.0,0.0
3M,USD,60537300.0,41305000.0,73304000.0,20424000.0,67302000.0,2884461000.0,61134730.0,0.0,-282387000.0,340152.81344,44476000.0,3,2025,AAT,19.959999084472656,20.450000762939453,18.489999771118164,18.729999542236328,2430000.0,18.41536521911621,0.0,0.0
3M,USD,60540125.0,40323000.0,27023000.0,28357000.0,67610000.0,2870758000.0,61152542.0,0.0,-297518000.0,0.0,0.0,6,2025,AAT,19.850000381469727,20.299999237060547,19.549999237060547,20.15999984741211,2626900.0,19.82134246826172,0.34,0.0
3M,USD,60540125.0,40323000.0,27023000.0,28357000.0,67610000.0,2870758000.0,61152542.0,0.0,-297518000.0,0.0,0.0,6,2025,AAT,20.290000915527344,20.709999084472656,19.989999771118164,20.190000534057617,1470700.0,20.190000534057617,0.0,0.0
3M,USD,60540125.0,40323000.0,27023000.0,28357000.0,67610000.0,2870758000.0,61152542.0,0.0,-297518000.0,0.0,0.0,6,2025,AAT,20.299999237060547,20.780000686645508,20.110000610351562,20.229999542236328,2491400.0,20.229999542236328,0.0,0.0
3M,USD,60540125.0,40323000.0,27023000.0,28357000.0,67610000.0,2870758000.0,61152542.0,0.0,-297518000.0,0.0,0.0,6,2025,AAT,20.190000534057617,20.440000534057617,19.329999923706055,19.850000381469727,2388500.0,19.850000381469727,0.0,0.0
3M,USD,0.0,33515000.0,12840000.0,47822000.0,163049000.0,7030615000.0,230818198.0,0.0,-2069400000.0,-10462830.0,-49823000.0,9,2024,GNL-PA,22.229999542236328,22.40999984741211,22.010000228881836,22.25,33975.0,20.534547805786133,0.0,0.0
3M,USD,0.0,33515000.0,12840000.0,47822000.0,163049000.0,7030615000.0,230818198.0,0.0,-2069400000.0,-10462830.0,-49823000.0,9,2024,GNL-PA,22.200000762939453,22.399900436401367,22.1299991607666,22.333999633789062,39902.0,20.61206817626953,0.0,0.0
3M,USD,0.0,33515000.0,12840000.0,47822000.0,163049000.0,7030615000.0,230818198.0,0.0,-2069400000.0,-10462830.0,-49823000.0,9,2024,GNL-PA,22.329999923706055,22.97260093688965,22.1200008392334,22.81999969482422,357238.0,21.06060218811035,0.0,0.0
3M,USD,0.0,33515000.0,12840000.0,47822000.0,163049000.0,7030615000.0,230818198.0,0.0,-2069400000.0,-10462830.0,-49823000.0,9,2024,GNL-PA,22.895000457763672,22.978500366210938,22.775400161743164,22.907499313354492,61891.0,21.141353607177734,0.0,0.0
3M,USD,0.0,33515000.0,12840000.0,47822000.0,163049000.0,7030615000.0,230818198.0,0.0,-2069400000.0,-10462830.0,-49823000.0,9,2024,GNL-PA,22.857799530029297,23.489999771118164,22.770000457763672,22.93000030517578,138882.0,21.162120819091797,0.453125,0.0
3M,USD,0.0,35619000.0,71674000.0,61954000.0,163496000.0,6704817000.0,231051139.0,0.0,-2150342000.0,1216740.0,5794000.0,12,2024,GNL-PA,23.389999389648438,23.5,23.040000915527344,23.100000381469727,60599.0,21.74183464050293,0.0,0.0
3M,USD,0.0,35619000.0,71674000.0,61954000.0,163496000.0,6704817000.0,231051139.0,0.0,-2150342000.0,1216740.0,5794000.0,12,2024,GNL-PA,22.969999313354492,23.200000762939453,22.520000457763672,22.75,35663.0,21.41241455078125,0.0,0.0
3M,USD,0.0,35619000.0,71674000.0,61954000.0,163496000.0,6704817000.0,231051139.0,0.0,-2150342000.0,1216740.0,5794000.0,12,2024,GNL-PA,22.649999618530273,23.030099868774414,21.66390037536621,22.520000457763672,55590.0,21.19593620300293,0.0,0.0
