periodType,currencyCode,AccountsReceivable,BasicEPS,CashAndCashEquivalents,EBIT,EnterpriseValue,FreeCashFlow,GrossProfit,InvestedCapital,LongTermDebt,MarketCap,NetIncomeFromContinuingOperations,RetainedEarnings,TotalLiabilitiesNetMinorityInterest,year,symbol,open,high,low,close,volume,adjclose,dividends,splits
3M,USD,0.0,0.72,776966000.0,236411000.0,19860743311.0,1035547000.0,346702000.0,16546272000.0,7873215000.0,12350421311.0,159086000.0,-2926085000.0,8932332000.0,2024,WPC,62.29999923706055,62.41999816894531,55.59000015258789,55.720001220703125,23747600,54.04377746582031,0.0,0.0
3M,USD,0.0,0.72,776966000.0,236411000.0,19860743311.0,1035547000.0,346702000.0,16546272000.0,7873215000.0,12350421311.0,159086000.0,-2926085000.0,8932332000.0,2024,WPC,55.97999954223633,58.29999923706055,54.5099983215332,57.060001373291016,22459400,55.343467712402344,0.0,0.0
3M,USD,0.0,0.72,776966000.0,236411000.0,19860743311.0,1035547000.0,346702000.0,16546272000.0,7873215000.0,12350421311.0,159086000.0,-2926085000.0,8932332000.0,2024,WPC,57.0,57.400001525878906,53.40999984741211,54.47999954223633,26873000,52.8410758972168,0.88,0.0
3M,USD,0.0,0.65,1085967000.0,214380000.0,19142549175.0,221048000.0,343172000.0,16735327000.0,8102448000.0,12046300175.0,142854000.0,-2975236000.0,9129786000.0,2024,WPC,56.279998779296875,57.77000045776367,53.09000015258789,54.84000015258789,23140800,51.628482818603516,0.0,0.0
3M,USD,0.0,0.65,1085967000.0,214380000.0,19142549175.0,221048000.0,343172000.0,16735327000.0,8102448000.0,12046300175.0,142854000.0,-2975236000.0,9129786000.0,2024,WPC,54.04999923706055,60.52000045776367,53.380001068115234,56.400001525878906,25148200,53.097129821777344,0.0,0.0
3M,USD,0.0,0.65,1085967000.0,214380000.0,19142549175.0,221048000.0,343172000.0,16735327000.0,8102448000.0,12046300175.0,142854000.0,-2975236000.0,9129786000.0,2024,WPC,56.7599983215332,57.91999816894531,54.4900016784668,55.04999923706055,28744900,51.8261833190918,0.87,0.0
3M,USD,0.0,0.65,1085967000.0,214380000.0,19142549175.0,221048000.0,343172000.0,16735327000.0,8102448000.0,12046300175.0,142854000.0,-2975236000.0,9129786000.0,2024,0,54.790000915527344,61.2400016784668,54.13999938964844,57.810001373291016,24341700,55.28891372680664,0.0,0.0
3M,USD,0.0,0.65,1085967000.0,214380000.0,19142549175.0,221048000.0,343172000.0,16735327000.0,8102448000.0,12046300175.0,142854000.0,-2975236000.0,9129786000.0,2024,0,58.65999984741211,60.56999969482422,55.25,60.02000045776367,21607300,57.40253448486328,0.0,0.0
3M,USD,0.0,0.65,1085967000.0,214380000.0,19142549175.0,221048000.0,343172000.0,16735327000.0,8102448000.0,12046300175.0,142854000.0,-2975236000.0,9129786000.0,2024,0,59.86000061035156,64.26000213623047,59.72999954223633,62.29999923706055,20750600,59.58310317993164,0.875,0.0
3M,USD,0.0,0.65,1085967000.0,214380000.0,19142549175.0,221048000.0,343172000.0,16735327000.0,8102448000.0,12046300175.0,142854000.0,-2975236000.0,9129786000.0,2024,0,62.29999923706055,62.41999816894531,55.59000015258789,55.720001220703125,23747600,54.04377746582031,0.0,0.0
3M,USD,0.0,0.65,1085967000.0,214380000.0,19142549175.0,221048000.0,343172000.0,16735327000.0,8102448000.0,12046300175.0,142854000.0,-2975236000.0,9129786000.0,2024,0,55.97999954223633,58.29999923706055,54.5099983215332,57.060001373291016,22459400,55.343467712402344,0.0,0.0
3M,USD,0.0,0.65,1085967000.0,214380000.0,19142549175.0,221048000.0,343172000.0,16735327000.0,8102448000.0,12046300175.0,142854000.0,-2975236000.0,9129786000.0,2024,0,57.0,57.400001525878906,53.40999984741211,54.47999954223633,26873000,52.8410758972168,0.88,0.0
3M,USD,0.0,0.51,818194000.0,193222000.0,20650650034.0,280170000.0,355288000.0,16552279000.0,7972821000.0,13634169034.0,111652000.0,-3056708000.0,9045630000.0,2024,0,56.279998779296875,57.77000045776367,53.09000015258789,54.84000015258789,23140800,51.628482818603516,0.0,0.0
3M,USD,0.0,0.51,818194000.0,193222000.0,20650650034.0,280170000.0,355288000.0,16552279000.0,7972821000.0,13634169034.0,111652000.0,-3056708000.0,9045630000.0,2024,0,54.04999923706055,60.52000045776367,53.380001068115234,56.400001525878906,25148200,53.097129821777344,0.0,0.0
3M,USD,0.0,0.51,818194000.0,193222000.0,20650650034.0,280170000.0,355288000.0,16552279000.0,7972821000.0,13634169034.0,111652000.0,-3056708000.0,9045630000.0,2024,0,56.7599983215332,57.91999816894531,54.4900016784668,55.04999923706055,28744900,51.8261833190918,0.87,0.0
3M,USD,0.0,0.51,818194000.0,193222000.0,20650650034.0,280170000.0,355288000.0,16552279000.0,7972821000.0,13634169034.0,111652000.0,-3056708000.0,9045630000.0,2024,0,54.790000915527344,61.2400016784668,54.13999938964844,57.810001373291016,24341700,55.28891372680664,0.0,0.0
3M,USD,0.0,0.51,818194000.0,193222000.0,20650650034.0,280170000.0,355288000.0,16552279000.0,7972821000.0,13634169034.0,111652000.0,-3056708000.0,9045630000.0,2024,0,58.65999984741211,60.56999969482422,55.25,60.02000045776367,21607300,57.40253448486328,0.0,0.0
3M,USD,0.0,0.51,818194000.0,193222000.0,20650650034.0,280170000.0,355288000.0,16552279000.0,7972821000.0,13634169034.0,111652000.0,-3056708000.0,9045630000.0,2024,0,59.86000061035156,64.26000213623047,59.72999954223633,62.29999923706055,20750600,59.58310317993164,0.875,0.0
3M,USD,0.0,0.51,818194000.0,193222000.0,20650650034.0,280170000.0,355288000.0,16552279000.0,7972821000.0,13634169034.0,111652000.0,-3056708000.0,9045630000.0,2024,0,62.29999923706055,62.41999816894531,55.59000015258789,55.720001220703125,23747600,54.04377746582031,0.0,0.0
3M,USD,0.0,0.51,818194000.0,193222000.0,20650650034.0,280170000.0,355288000.0,16552279000.0,7972821000.0,13634169034.0,111652000.0,-3056708000.0,9045630000.0,2024,0,55.97999954223633,58.29999923706055,54.5099983215332,57.060001373291016,22459400,55.343467712402344,0.0,0.0
3M,USD,0.0,0.51,818194000.0,193222000.0,20650650034.0,280170000.0,355288000.0,16552279000.0,7972821000.0,13634169034.0,111652000.0,-3056708000.0,9045630000.0,2024,0,57.0,57.400001525878906,53.40999984741211,54.47999954223633,26873000,52.8410758972168,0.88,0.0
3M,USD,0.0,0.21,640373000.0,125693000.0,19077512021.0,296347000.0,361338000.0,16468697000.0,8039002000.0,11922885021.0,47038000.0,-3203974000.0,9100900000.0,2024,0,56.279998779296875,57.77000045776367,53.09000015258789,54.84000015258789,23140800,51.628482818603516,0.0,0.0
