periodType,currencyCode,BasicAverageShares,CostOfRevenue,EBIT,FreeCashFlow,GrossProfit,InvestedCapital,OrdinarySharesNumber,OtherOperatingExpenses,RetainedEarnings,TaxEffectOfUnusualItems,TotalUnusualItems,month,year,symbol,open,high,low,close,volume,adjclose,dividends,splits
3M,USD,220221366.0,42095000.0,193222000.0,280170000.0,355288000.0,16552279000.0,218847015.0,15895000.0,-3056708000.0,-756514.084974,-10096000.0,9,2024,WPC,60.90999984741211,63.349998474121094,60.29999923706055,63.279998779296875,4044100.0,60.520362854003906,0.0,0.0
3M,USD,220221366.0,42095000.0,193222000.0,280170000.0,355288000.0,16552279000.0,218847015.0,15895000.0,-3056708000.0,-756514.084974,-10096000.0,9,2024,WPC,63.599998474121094,64.26000213623047,62.08000183105469,62.2400016784668,7875200.0,59.52572250366211,0.0,0.0
3M,USD,220221366.0,42095000.0,193222000.0,280170000.0,355288000.0,16552279000.0,218847015.0,15895000.0,-3056708000.0,-756514.084974,-10096000.0,9,2024,WPC,62.86000061035156,63.88999938964844,62.439998626708984,62.7400016784668,3776500.0,60.0039176940918,0.0,0.0
3M,USD,220221366.0,42095000.0,193222000.0,280170000.0,355288000.0,16552279000.0,218847015.0,15895000.0,-3056708000.0,-756514.084974,-10096000.0,9,2024,WPC,61.869998931884766,62.41999816894531,59.849998474121094,60.25,4993300.0,57.622501373291016,0.875,0.0
3M,USD,220223239.0,44827000.0,125693000.0,296347000.0,361338000.0,16468697000.0,218848844.0,0.0,-3203974000.0,1983767.195767,13990000.0,12,2024,WPC,57.0,57.040000915527344,55.33000183105469,55.900001525878906,5911000.0,54.218360900878906,0.0,0.0
3M,USD,220223239.0,44827000.0,125693000.0,296347000.0,361338000.0,16468697000.0,218848844.0,0.0,-3203974000.0,1983767.195767,13990000.0,12,2024,WPC,55.810001373291016,57.13999938964844,55.16999816894531,57.02000045776367,6047400.0,55.30466842651367,0.0,0.0
3M,USD,220223239.0,44827000.0,125693000.0,296347000.0,361338000.0,16468697000.0,218848844.0,0.0,-3203974000.0,1983767.195767,13990000.0,12,2024,WPC,56.86000061035156,57.400001525878906,53.40999984741211,54.25,9317700.0,52.61800003051758,0.0,0.0
3M,USD,220223239.0,44827000.0,125693000.0,296347000.0,361338000.0,16468697000.0,218848844.0,0.0,-3203974000.0,1983767.195767,13990000.0,12,2024,WPC,54.099998474121094,55.43000030517578,53.93000030517578,54.5099983215332,3133300.0,52.870174407958984,0.0,0.0
3M,USD,220223239.0,44827000.0,125693000.0,296347000.0,361338000.0,16468697000.0,218848844.0,0.0,-3203974000.0,1983767.195767,13990000.0,12,2024,WPC,54.400001525878906,54.880001068115234,53.70000076293945,54.849998474121094,4808200.0,53.199947357177734,0.88,0.0
3M,USD,220401156.0,45342000.0,206252000.0,273213000.0,364516000.0,16228665000.0,218975748.0,0.0,-3276497000.0,1016048.192771,12006000.0,3,2025,WPC,64.20999908447266,65.44999694824219,63.41999816894531,64.7699966430664,7017100.0,63.850616455078125,0.0,0.0
3M,USD,220401156.0,45342000.0,206252000.0,273213000.0,364516000.0,16228665000.0,218975748.0,0.0,-3276497000.0,1016048.192771,12006000.0,3,2025,WPC,64.83999633789062,66.0999984741211,61.40999984741211,62.65999984741211,7521200.0,61.77056884765625,0.0,0.0
3M,USD,220401156.0,45342000.0,206252000.0,273213000.0,364516000.0,16228665000.0,218975748.0,0.0,-3276497000.0,1016048.192771,12006000.0,3,2025,WPC,62.810001373291016,63.400001525878906,60.650001525878906,61.4900016784668,10491000.0,60.61717987060547,0.0,0.0
3M,USD,220401156.0,45342000.0,206252000.0,273213000.0,364516000.0,16228665000.0,218975748.0,0.0,-3276497000.0,1016048.192771,12006000.0,3,2025,WPC,61.4900016784668,63.47999954223633,60.939998626708984,62.70000076293945,4872100.0,61.810001373291016,0.0,0.0
3M,USD,187436000.0,5303000.0,54225000.0,74000000.0,100604000.0,4954129000.0,188517000.0,0.0,-449893000.0,-6814.412636,-468000.0,6,2024,BNL,15.449999809265137,15.460000038146973,14.930000305175781,15.15999984741211,5333300.0,14.139751434326172,0.0,0.0
3M,USD,187436000.0,5303000.0,54225000.0,74000000.0,100604000.0,4954129000.0,188517000.0,0.0,-449893000.0,-6814.412636,-468000.0,6,2024,BNL,15.100000381469727,15.604999542236328,14.970000267028809,15.279999732971191,5202700.0,14.251675605773926,0.0,0.0
3M,USD,187436000.0,5303000.0,54225000.0,74000000.0,100604000.0,4954129000.0,188517000.0,0.0,-449893000.0,-6814.412636,-468000.0,6,2024,BNL,15.25,15.755000114440918,15.109999656677246,15.729999542236328,5655200.0,14.671391487121582,0.0,0.0
3M,USD,187436000.0,5303000.0,54225000.0,74000000.0,100604000.0,4954129000.0,188517000.0,0.0,-449893000.0,-6814.412636,-468000.0,6,2024,BNL,15.789999961853027,16.110000610351562,15.4399995803833,15.869999885559082,7787700.0,14.801969528198242,0.29,0.0
